country,region,year,total_museums,art_museums,history_museums,science_museums,population_millions,gdp_per_capita_usd,tourism_income_billion,culture_budget_percent,unesco_sites
Pakistan,Asia,2021,5648,1102,2416,2130,986.0,94550,78.91,0.9,7
Czech Republic,Europe,2021,797,189,342,266,350.88,49073,72.99,1.98,6
Fiji,Oceania,2021,60,10,23,27,384.79,89636,34.05,2.25,3
Netherlands,Europe,2015,1083,256,400,427,42.22,50409,115.61,0.12,7
Malaysia,Asia,2015,2320,479,1099,742,959.6,57206,122.97,1.58,10
South Korea,Asia,2023,2913,495,1504,914,268.96,8526,2.33,1.51,11
Nigeria,Africa,2022,341,56,147,138,416.51,79553,92.25,1.19,15
Pakistan,Asia,2018,3285,814,1381,1090,764.77,63006,171.76,0.45,0
Senegal,Africa,2015,62,18,24,20,1300.11,87303,112.26,1.28,0
Cuba,Americas,2018,12557,2404,4709,5444,494.32,15298,184.61,1.45,4
UK,Europe,2018,2013,473,1065,475,777.44,16042,48.87,1.08,4
Tanzania,Africa,2020,72,24,37,11,227.37,12098,104.78,1.42,3
Czech Republic,Europe,2015,4933,1620,2063,1250,508.21,57046,132.64,0.92,2
Chile,Americas,2018,35674,6413,16862,12399,974.73,42400,138.05,1.97,7
Pakistan,Asia,2022,782,218,298,266,1063.12,96171,4.89,1.61,5
Spain,Europe,2018,1604,372,743,489,1070.38,84390,140.46,1.74,13
Uganda,Africa,2023,146,37,54,55,386.26,40305,83.69,0.51,0
Cuba,Americas,2022,5064,910,2620,1534,815.98,55401,188.7,0.12,1
UK,Europe,2022,4883,1439,1743,1701,151.51,16956,44.68,0.15,13
Fiji,Oceania,2020,70,16,31,23,236.53,28058,82.39,2.27,13
Japan,Asia,2023,4648,738,1918,1992,997.99,71099,27.33,1.36,15
Australia,Oceania,2020,272,79,144,49,827.37,61763,119.94,2.21,3
Colombia,Americas,2022,16381,2843,6549,6989,1180.66,72406,163.49,1.65,6
Singapore,Asia,2022,4518,1209,2116,1193,894.51,26657,49.09,0.4,6
Sweden,Europe,2023,6906,1407,2801,2698,1058.7,8336,179.1,2.25,2
Chile,Americas,2022,24966,4896,9027,11043,692.56,50705,163.68,0.53,1
Poland,Europe,2023,6003,1340,2285,2378,1348.9,28003,144.73,1.94,4
Brazil,Americas,2018,17160,5986,6704,4470,748.58,87198,118.83,1.37,11
Fiji,Oceania,2020,240,39,91,110,725.95,91128,3.34,0.78,15
France,Europe,2021,5897,1979,2354,1564,608.98,31792,18.07,1.14,8
Colombia,Americas,2018,30395,6169,14836,9390,934.34,91351,95.62,1.1,0
France,Europe,2021,4656,800,1778,2078,237.87,36748,40.16,1.47,2
Canada,Americas,2015,23023,3823,8253,10947,845.88,71182,172.96,1.1,0
Czech Republic,Europe,2021,3968,600,1794,1574,666.04,36660,25.61,2.15,12
Switzerland,Europe,2022,4187,1180,1548,1459,1300.58,7725,72.44,0.2,8
Indonesia,Asia,2018,2555,692,1262,601,1073.7,90665,163.61,1.64,15
Austria,Europe,2021,625,135,315,175,722.04,86542,173.48,1.45,3
Bangladesh,Asia,2021,2708,906,1143,659,1184.08,61542,181.74,1.47,11
Finland,Europe,2020,6350,1526,2451,2373,1207.66,36243,105.63,1.85,4
Malaysia,Asia,2021,271,56,125,90,1307.3,58978,3.27,0.68,3
Ethiopia,Africa,2015,73,15,29,29,827.3,18768,148.44,2.32,0
Israel,Asia,2015,5699,1200,2139,2360,1014.82,70757,199.43,2.44,1
Chile,Americas,2022,13484,3312,6814,3358,1103.97,10053,176.04,2.19,1
Uganda,Africa,2023,309,76,143,90,557.99,69856,93.87,0.18,2
Iran,Asia,2015,3195,758,1371,1066,1231.28,37743,87.95,0.37,0
Czech Republic,Europe,2015,535,98,242,195,708.88,83279,162.48,2.13,7
Greece,Europe,2020,6650,2123,3001,1526,820.42,29034,41.98,0.64,6
Greece,Europe,2015,2432,705,1183,544,1441.77,81910,173.26,1.08,4
Colombia,Americas,2023,2586,771,1215,600,906.59,84075,127.78,2.15,11
UK,Europe,2018,2029,505,753,771,1356.68,42747,86.91,2.19,10
Iran,Asia,2022,514,92,233,189,177.75,46447,199.24,0.89,15
Ghana,Africa,2023,322,111,144,67,1060.29,62762,170.35,1.09,8
Ethiopia,Africa,2022,322,50,169,103,975.58,79264,137.31,0.99,9
Kenya,Africa,2023,227,50,116,61,1257.65,66272,130.14,1.56,2
Cuba,Americas,2022,3263,744,1548,971,645.82,24690,193.41,1.99,15
Austria,Europe,2020,357,54,138,165,1381.23,87409,45.4,0.18,9
Thailand,Asia,2018,999,302,388,309,1080.88,85747,46.42,0.72,5
Pakistan,Asia,2021,822,281,367,174,1163.28,95268,62.09,0.61,3
Jamaica,Americas,2020,31333,4931,14270,12132,148.34,25043,87.21,0.62,8
Spain,Europe,2020,3083,1028,1138,917,374.13,43506,80.71,1.22,14
Portugal,Europe,2018,1548,349,591,608,485.22,82932,89.59,0.88,2
Saudi Arabia,Asia,2015,2179,463,897,819,548.66,71058,104.3,2.38,8
Denmark,Europe,2015,585,123,222,240,1308.87,74212,171.38,2.48,12
Philippines,Asia,2015,3092,619,1203,1270,239.8,10703,186.27,0.34,6
Senegal,Africa,2018,417,137,169,111,1393.02,99978,104.8,1.69,15
Jamaica,Americas,2015,11794,2524,4888,4382,220.84,76010,20.19,0.73,0
Switzerland,Europe,2020,7597,2231,3951,1415,423.49,76470,160.9,2.21,14
USA,Americas,2018,37075,10499,13082,13494,686.17,10229,136.5,0.68,13
Switzerland,Europe,2022,5719,1293,2173,2253,1143.84,34197,175.94,1.09,14
Greece,Europe,2023,631,105,278,248,64.42,43796,58.29,1.63,1
UK,Europe,2020,6426,1234,2618,2574,404.16,55595,196.8,1.25,4
Venezuela,Americas,2020,16588,3100,6720,6768,434.43,53138,100.5,1.16,13
Morocco,Africa,2015,231,47,98,86,947.23,49241,22.51,0.52,10
UK,Europe,2015,1402,328,628,446,1447.89,52210,97.17,1.17,6
Senegal,Africa,2022,229,62,106,61,191.65,45149,47.61,0.69,3
Singapore,Asia,2020,4784,1608,2166,1010,345.46,61132,111.55,2.19,10
Iran,Asia,2023,325,55,156,114,424.31,14570,83.72,1.4,6
Peru,Americas,2023,6706,1807,3255,1644,78.55,7129,51.07,0.53,11
South Africa,Africa,2018,461,158,192,111,1043.67,5378,67.56,2.16,1
Chile,Americas,2022,38376,10661,17798,9917,171.28,33200,152.47,0.44,15
USA,Americas,2018,39796,7879,18950,12967,899.29,84019,180.81,0.15,15
Mexico,Americas,2021,26281,7091,10700,8490,372.21,63935,100.83,2.05,0
UK,Europe,2023,3279,1135,1558,586,1111.01,46177,133.48,1.28,8
Belgium,Europe,2018,7765,2280,3069,2416,796.5,41127,173.37,0.3,0
Indonesia,Asia,2021,5871,882,2776,2213,1365.35,26074,191.57,2.2,5
Norway,Europe,2021,7169,1618,2661,2890,517.71,89716,182.45,1.6,7
Senegal,Africa,2023,152,44,67,41,912.83,42117,14.23,2.07,10
Thailand,Asia,2023,2361,723,1207,431,1326.25,61242,143.19,0.84,10
Bangladesh,Asia,2023,3836,656,1691,1489,1220.43,22409,82.36,2.35,8
Spain,Europe,2023,1433,424,679,330,475.96,35738,117.14,0.9,5
UK,Europe,2015,6829,1345,3495,1989,147.51,89687,18.42,0.99,11
Iran,Asia,2018,5655,1216,2753,1686,357.53,79853,31.73,2.35,9
Brazil,Americas,2018,17729,3054,9659,5016,1042.25,36172,8.97,0.81,9
Nigeria,Africa,2022,91,25,42,24,967.34,21540,131.14,2.37,4
Bangladesh,Asia,2021,3884,929,1441,1514,708.03,78076,12.11,1.83,7
Austria,Europe,2018,7984,1828,3827,2329,814.23,56383,125.62,1.84,6
Mexico,Americas,2020,15526,3957,7531,4038,935.74,35447,68.33,1.94,14
Indonesia,Asia,2020,5880,1865,2364,1651,302.39,77149,155.64,0.45,10
Austria,Europe,2023,3577,827,1562,1188,72.41,32547,35.8,1.13,2
Colombia,Americas,2020,5174,1031,1855,2288,756.99,16560,182.6,0.69,7
Australia,Oceania,2015,206,65,85,56,370.64,10523,3.03,1.16,8
Peru,Americas,2023,17419,3237,9470,4712,1089.76,16626,134.36,1.71,13
Spain,Europe,2022,7376,1818,2611,2947,992.85,82113,109.6,2.17,6
Netherlands,Europe,2018,4426,831,2385,1210,1192.09,87026,137.25,2.24,9
Argentina,Americas,2023,12211,2594,5195,4422,978.43,68720,114.59,0.92,2
Belgium,Europe,2015,6223,1740,3200,1283,1228.88,24553,105.84,1.2,1
Saudi Arabia,Asia,2023,4279,1248,1691,1340,923.81,27633,129.13,2.22,2
Morocco,Africa,2023,55,13,24,18,653.26,8761,61.16,0.49,11
Australia,Oceania,2018,477,149,175,153,935.86,75428,71.82,1.32,13
USA,Americas,2022,30964,5761,10848,14355,711.97,18759,124.27,2.1,7
New Zealand,Oceania,2022,227,59,85,83,1357.32,76133,82.49,1.93,0
Finland,Europe,2022,6392,1684,3045,1663,423.98,37381,139.4,1.3,0
Brazil,Americas,2021,25745,4177,11114,10454,1179.73,78536,65.75,1.76,10
Colombia,Americas,2022,684,116,306,262,1392.16,43015,193.19,0.36,5
Singapore,Asia,2021,1841,395,814,632,471.04,54330,96.66,0.27,2
Venezuela,Americas,2022,37958,5850,18984,13124,218.71,17944,131.49,1.81,2
Poland,Europe,2022,6243,1132,2710,2401,462.09,35118,124.91,0.3,14
Jamaica,Americas,2018,9527,2902,4453,2172,1096.53,52036,184.91,2.14,2
Tanzania,Africa,2021,475,72,210,193,43.09,51257,49.07,1.48,8
Argentina,Americas,2021,33736,7567,14040,12129,1385.39,38515,3.37,1.65,7
Jamaica,Americas,2015,32806,10355,17887,4564,1100.22,75696,106.69,0.58,4
Pakistan,Asia,2020,4790,987,2405,1398,1424.72,76200,74.22,1.0,7
Morocco,Africa,2023,162,46,63,53,740.55,7841,2.3,1.97,2
Canada,Americas,2015,2826,614,1251,961,636.63,67033,189.9,2.14,10
Uganda,Africa,2018,460,150,167,143,503.17,98026,12.48,0.14,6
Malaysia,Asia,2022,711,161,290,260,174.95,26100,15.67,1.28,6
Brazil,Americas,2023,38817,9239,21317,8261,573.44,7491,167.19,2.29,11
India,Asia,2020,313,80,165,68,1151.24,28389,10.37,1.4,8
UAE,Asia,2020,5978,1472,2311,2195,601.36,13427,16.6,0.69,10
Poland,Europe,2020,5500,1846,1937,1717,1209.3,64385,97.6,1.8,7
Australia,Oceania,2018,338,93,118,127,535.21,7085,57.23,1.51,9
Singapore,Asia,2015,509,114,268,127,663.6,42341,185.65,2.06,7
Ethiopia,Africa,2023,158,33,69,56,1367.27,35571,119.39,0.92,2
South Africa,Africa,2021,142,48,71,23,1229.21,53199,46.55,0.18,8
South Africa,Africa,2015,402,84,215,103,1273.43,22974,189.37,2.15,9
Netherlands,Europe,2021,5765,976,2556,2233,39.07,97942,65.59,1.31,1
Portugal,Europe,2018,7033,2200,3350,1483,1430.13,40192,80.86,1.61,9
Malaysia,Asia,2023,4092,886,2186,1020,1375.1,76299,180.27,1.44,12
Spain,Europe,2020,725,140,389,196,389.68,16296,186.58,0.75,3
Tanzania,Africa,2015,204,50,94,60,383.02,56078,93.78,0.51,6
USA,Americas,2021,25077,7964,12811,4302,770.22,23747,104.84,1.83,9
Czech Republic,Europe,2018,4673,1425,2048,1200,811.92,17786,56.47,1.48,14
Italy,Europe,2021,2281,357,1009,915,660.55,48957,54.47,0.48,11
Jamaica,Americas,2022,35304,8474,15812,11018,1214.62,48660,11.79,1.34,10
UAE,Asia,2021,3083,1008,1496,579,18.38,7343,114.26,2.23,4
Pakistan,Asia,2020,1417,377,643,397,918.13,77461,153.89,0.72,12
Denmark,Europe,2021,7415,1257,3441,2717,52.97,98737,66.53,1.76,1
Saudi Arabia,Asia,2020,3879,1300,1713,866,631.31,14727,199.12,2.18,13
Ghana,Africa,2015,174,53,63,58,49.95,27202,25.51,0.63,14
Kenya,Africa,2021,406,89,199,118,588.56,85645,138.25,1.59,8
Finland,Europe,2023,1252,250,570,432,35.06,22761,69.73,1.42,3
Senegal,Africa,2022,285,77,133,75,1302.48,79870,145.33,1.8,1
Ethiopia,Africa,2021,425,118,158,149,839.91,32727,104.86,1.96,4
Finland,Europe,2021,635,96,343,196,424.37,49933,46.82,0.2,0
Poland,Europe,2015,2067,633,1080,354,63.6,6462,154.64,0.55,9
Kenya,Africa,2020,475,147,216,112,367.29,23142,84.08,1.55,7
Belgium,Europe,2018,5498,1651,2265,1582,1449.53,47262,139.05,0.45,7
Netherlands,Europe,2020,1804,501,653,650,810.79,18279,134.6,0.37,2
Australia,Oceania,2020,449,91,223,135,644.12,53823,144.78,1.06,2
Colombia,Americas,2021,17920,5473,7466,4981,1130.78,11468,14.58,0.79,9
Cuba,Americas,2018,32515,9549,14807,8159,1407.82,54860,159.75,0.26,0
France,Europe,2018,7252,1180,3362,2710,138.94,12137,76.25,1.32,10
